Africa	n. 非洲
joule	n. 焦耳
journal	n. 日志;议事录
journalism	n. 新闻学;新闻业
journalist	n. 记日志者
journey	n. 历程;旅行\nv. 在...旅行;旅行
journeyman	n. 雇佣工;子钟
jovial	adj. 木星的;朱庇特的;风趣的
jowl	n. 颌;敲
joy	n. 成功;欢欣\nv. 享受;高兴
joyful	adj. 高兴的
joyless	adj. 不快活的
joyous	adj. 高兴的
joyride	n. 驾车兜风;追求享乐
joystick	n. 操纵杆;驾驶盘
jubilant	adj. 欢欣的
jubilation	n. 欢腾
jubilee	n. 欢庆;五十年节
judge	n. 法官;鉴定人\nv. 裁决;断定
judgement	n. 判断;判决
judgment	n. 判断;审判
judicature	n. 司法;司法权
judicial	adj. 法官的;司法的
judicious	adj. 明断的
judo	n. 现代柔道
judoist	n. 柔道家
jug	n. 大罐;监狱\nv. 煮;鸣叫
juggle	n. 花招;手技杂耍\nv. 耍;歪曲
jugular	adj. 颈的;颈静脉的\nn. 致命处
juice	n. 精;汁\nv. 给...加汁液
juicy	adj. 多汁的;油水足的
jukebox	n. 自动唱机
jumble	n. 颠摇\nv. 颠摇;使杂乱
jumbo	adj. 特大的\nn. 庞然大物
jump	n. 跳;心神不安\nv. 使跳;跳
jumper	n. 跳跃者;工作茄克
jumpy	adj. 跳跃的
junction	n. 接头;连接
juncture	n. 接合;情况
jungle	n. 热带植丛
junior	adj. 较年幼的;小\nn. 较年幼者;三年级生
junket	n. 郊游;野餐\nv. 宴请;郊游
juridical	adj. 法律的;司法的
jurist	n. 法学家;律师
juror	n. 陪审员;评奖人
jury	adj. 暂用的\nn. 陪审团
juryman	n. 陪审员
just	adj. 应得的;正义的\nadv. 刚才;只是
justice	n. 公正;正确
justify	v. 证明...无罪;排整齐
jut	n. 突出\nv. 使突出;突出
jute	n. 黄麻纤维
juvenile	adj. 少年的;幼稚的\nn. 雏鸟;少年
juxtapose	v. 把...并置
kamikaze	n. 神风突击机
kangaroo	n. 袋鼠;野牛崽
kaolin	n. 高岭土
kapok	n. 木棉
karabiner	n. 弹簧钩
karat	n. 开
karate	n. 空手道
kebab	n. 烤肉串
keel	n. 龙骨;平底船\nv. 把...翻转;冷却
keen	adj. 刺人的;锋利的
keep	n. 保持;供养\nv. 保管;保守
keeper	n. 看守人;饲养者
keepsake	n. 纪念品;诗集
keg	n. 桶钉;小桶
ken	n. 视野;窝\nv. 看到;认出
kendo	n. 剑道
kennel	n. 狗窝;沟渠\nv. 为...提供住处
keratin	n. 角蛋白
kerb	n. 井栏;路缘
kerbstone	n. 井栏石;路缘石
kerchief	n. 方头巾
kerfuffle	n. 吵闹
kernel	n. 核;仁
kerosene	n. 煤油
ketchup	n. 番茄酱
kettle	n. 水壶
kettledrum	n. 定音鼓
key	n. 答案;方法\nv. 为...调音;钉防
keyboard	n. 键盘;钥匙板
keyhole	adj. 透露内情的\nn. 键孔;锁眼
keynote	n. 要旨;主音\nv. 给...定基调;给...定音
keystone	n. 拱顶石;基础
kg	n. 千克
khaki	adj. 卡其色的\nn. 卡其布;卡其黄
kick	n. 踢;踢球\nv. 踢;反冲
kickback	n. 回扣;强烈反应
kid	n. 小孩;欺骗\nv. 产;产羔
kiddie	n. 小孩
kidnap	v. 绑架;诱拐
kidney	n. 个性;肾
kill	n. 击落;杀死\nv. 冻死;杀死
killer	n. 杀灭物;杀人者
kiln	n. 窑;窑房\nv. 把...放在窑内烧
kilobyte	n. 千字节
kilocycle	n. 千周
kilogram	n. 千克;千克力
kilohertz	n. 千赫
kilometre	n. 千米
kiloton	n. 千吨
kilovolt	n. 千伏
kilowatt	n. 千瓦
kimono	n. 和服
kin	adj. 同类的\nn. 家属;家族
kind	adj. 和蔼的;友好的\nn. 类;种类
kindle	v. 点燃;照亮;激动起来;生育
kindly	adj. 仁慈的;温和的\nadv. 仁慈地;衷心地
kindness	n. 仁慈
kindred	adj. 同类的\nn. 亲属;宗族
kinetic	adj. 运动的
kinetics	n. 动力学;历程
king	n. 大王;君主
kingdom	n. 君主身份;王国
kingpin	n. 主要人物;主柱
kink	n. 扭结;弯曲\nv. 使扭结;扭结
kinsfolk	n. 家属
kinship	n. 家属关系;类似
kinsman	n. 家属
kinswoman	n. 女性家属
kiosk	n. 凉亭;小亭
kiss	n. 轻拂;吻\nv. 轻拂;吻
kit	n. 工具包;小猫
kitchen	n. 厨房;厨师
kite	n. 鸢;胃;风筝\nv. 传递;开
kith	n. 朋友
kitten	n. 小猫\nv. 产;产小猫
kitty	n. 猫咪;小猫
km	n. 千米
knack	n. 技能;妙法
knapsack	n. 背包
knave	n. 杰克;小厮
knead	v. 揉;揉成
knee	n. 膝部;膝关节\nv. 向...下跪
kneecap	n. 护膝;髌\nv. 用枪击穿的膝盖骨
kneel	v. 跪;跪着
knell	n. 丧钟;钟声\nv. 敲...报丧;预报死亡
knickers	adv. 讨厌\nn. 女用短衬裤
knife	n. 刀;匕首\nv. 用刀裁;用刀砍
knight	n. 爵士;骑士\nv. 授...以爵士品位
knit	v. 编结;使坚实
knitwear	n. 针织品
knob	n. 圆块;圆形小丘
knobbly	adj. 小的球形突出物的
knock	n. 一击;指责\nv. 敲;敲
knockabout	adj. 粗用的;欢闹的\nn. 单桅帆船;闹剧演员
knocker	n. 门环;敲击者
knoll	n. 海丘;圆丘
knot	n. 花结;结\nv. 使紧缩;打结
knotty	adj. 多节的;有结的
know	v. 记住;确知
knowledge	n. 熟悉;知识
knuckle	n. 指节;肘\nv. 叩击;屈服
knurl	n. 滚花\nv. 在...边上滚花
koala	n. 树袋熊
kosher	adj. 真的\nv. 按犹太教规调制
kowtow	n. 叩头\nv. 卑躬屈膝;叩头
krill	n. 磷虾
kudos	n. 名声
kw	n. 千瓦
lab	n. 实验室
label	n. 标签;称号\nv. 把...称为;使示踪
labial	adj. 吹奏的;唇的\nn. 唇管;唇音
labor	n. 工作;劳动\nv. 劳动;努力
laborer	n. 辅助工
laborious	adj. 吃力的;辛勤的
labyrinth	n. 错综复杂;迷宫
lace	n. 滚带;鞋带\nv. 穿带子于;系带子
lacerate	adj. 受折磨的;撕裂了的\nv. 伤害;撕裂
lachrymose	adj. 爱哭的
lack	n. 缺乏;需要\nv. 短少;缺乏
lackey	n. 男仆;走狗\nv. 服侍;充当仆从
laconic	adj. 简洁的
lacquer	n. 漆;漆器\nv. 用漆涂
lactic	adj. 乳的
lacy	adj. 花边的;花边状的
lad	n. 家伙;男孩
ladder	n. 梯级;梯子
laden	adj. 装满的
lading	n. 船货;装载
lady	n. 贵妇人;女士
lag	n. 间歇;落后\nv. 减弱;滞后
lager	n. 贮藏啤酒
lair	n. 兽窝;泥沼\nv. 进入;陷入泥沼
laird	n. 地主
laity	n. 俗人;外行
lake	n. 池;湖
lamb	n. 羔羊;羔羊皮
lambskin	n. 羔皮;羊皮纸
lame	adj. 金银锦缎;跛的\nn. 老古板;薄板\nv. 使跛;变跛
lament	n. 抱怨;挽歌\nv. 悲叹;哀悼
lamp	n. 灯;光
lampoon	n. 讽刺文章\nv. 冷嘲热讽
lamppost	n. 灯杆
lampshade	n. 灯罩
lance	n. 捕鲸矛;长矛\nv. 切开;投
lancet	n. 柳叶刀;桃尖拱
land	n. 地产;陆地\nv. 靠岸;落下
landholder	n. 土地租赁者
landlady	n. 女地主;女房东
landlocked	adj. 陆围的
landlord	n. 地主;房东
landlubber	n. 旱鸭子
landmark	n. 地标;界标
landscape	n. 地形;风景\nv. 从事景观美化工作
landslide	n. 山崩
lane	n. 车道;小路
language	n. 全部词汇;语言
languid	adj. 不活跃的
languish	v. 受苦;松弛
languor	n. 柔情;无兴趣
lank	adj. 瘦的;稀疏的
lanky	adj. 过分瘦长的
lantern	n. 灯笼;穹隆顶塔
lap	n. 耳垂;舐\nv. 嵌接;舔\nleap的过去式
lapdog	n. 奉承者
lapel	n. 翻领
lapse	n. 减退;流逝\nv. 丧失;减退
larceny	n. 盗窃
lard	n. 多余脂肪;猪油\nv. 搽油于;润色
larder	n. 贮藏的食品
large	adj. 大的;开阔的
lark	n. 鹨;事情\nv. 愚弄;嬉戏
larva	n. 幽灵;幼虫
laryngitis	n. 喉炎
larynx	n. 喉
lascivious	adj. 好色的
laser	n. 激光
lash	n. 鞭打;鞭子\nv. 鞭打;猛击
lass	n. 女佣;情人
lassitude	n. 无力;厌倦
lasso	n. 套索\nv. 拉拢
last	adj. 最低的;最后的\nadv. 上一次;最后\nv. 度过;楦
latch	n. 碰锁;闩\nv. 得到;理解
late	adj. 迟的;晚的\nadv. 迟;晚
lately	adv. 近来
latent	adj. 潜伏的;潜在的
later	adv. 后来;再见\nlate的比较级
lateral	adj. 边音的;横的\nn. 边音;走向平巷
latest	n. 最新款式
lath	n. 板条;木板条\nv. 给...钉板条
lathe	n. 莱斯;车床\nv. 用车床加工
lather	n. 汗沫;泡沫\nv. 狠狠地打;形成皂沫
latitude	n. 回旋余地;纬度
latrine	n. 厕所
latter	adj. 后者的;较后的
laud	n. 晨经;赞歌\nv. 美
laudable	adj. 正常的;值得嘉奖的
laugh	n. 笑;笑柄\nv. 开颜;笑
laughable	adj. 逗人笑的
laughter	n. 笑;笑意
launch	n. 下水;汽艇\nv. 发射;开始
launder	n. 槽\nv. 清洗;洗涤
laundress	n. 洗烫衣物的女工
laundry	n. 洗衣店;赃东西
laureate	adj. 戴桂冠的;获奖者的\nn. 获奖者;讴歌者\nv. 给...戴桂冠
laurel	n. 桂冠;月桂枝叶\nv. 给...戴桂冠
lava	n. 岩浆;火山岩
lavatory	adj. 洗涤的\nn. 厕所;洗脸盆
lavender	adj. 淡紫色的\nn. 淡紫色;熏衣草\nv. 用熏衣草熏香
lavish	adj. 过分丰富的\nv. 滥花
law	n. 法律;法制
lawcourt	n. 法庭
lawful	adj. 守法的;依法的
lawless	adj. 难驯的
lawn	n. 草坪;菌苔
lawsuit	n. 诉讼
lawyer	n. 律师
lax	adj. 不严格的;松的
laxative	adj. 放松的;致轻泻的\nn. 轻泻剂
lay	adj. 世俗的;外行的\nn. 层;歌曲\nv. 置放;产卵\nlie的过去式
layer	n. 层;放置者\nv. 混穿;倒伏
layman	n. 门外汉;平信徒
layout	n. 安排;陈列
laze	n. 懒散\nv. 懒散
lazy	adj. 懒惰的;慢吞吞的
lead	n. 指引;铅\nv. 牵;致使
leader	n. 领先者;领袖
leadership	n. 领导;领导才能
leaf	n. 长叶;叶\nv. 翻书叶;生叶片
leaflet	n. 传单;小叶
league	n. 盟约;同盟
leak	n. 漏;漏洞\nv. 使渗漏;漏
leakage	n. 漏;渗漏
leaky	adj. 爱哭的;漏的
lean	adj. 贫瘠的;瘦的\nn. 倾斜;瘦肉\nv. 屈身;斜
leap	n. 跳;跳跃距离\nv. 使跳;跳
leap year	n. 闰年
learn	v. 发现;学
lease	n. 租借;租约\nv. 出租;使分经
leasehold	adj. 租赁的\nn. 租得
least	adj. 最少的\nadv. 最少\nn. 最少量
leather	n. 皮带;皮革
leave	n. 告别;许可\nv. 丢弃;经过
leaven	n. 酵母;味道\nv. 使发酵;使渐变
lecture	n. 讲稿;训斥\nv. 给...讲课;训斥
lecturer	n. 讲师;讲演者
ledge	n. 暗礁;壁架
ledger	n. 分类帐;横木
lee	n. 庇护所;庇荫
leech	n. 水蛭;医生\nv. 用水蛭给...放血
leek	n. 韭葱
leeway	n. 偏航;余地
leg	n. 假腿;腿
legacy	n. 遗产;遗赠
legal	adj. 法律的;合法的
legality	n. 墨守法规;依法
legalize	v. 使合法化
legate	n. 大使;使节\nv. 把...遗赠给
legation	n. 代表团
legend	n. 传说;民间传说
legible	adj. 清楚的
legion	adj. 众多的\nn. 军团;众多
legislate	v. 立法
legislator	n. 立法者
legitimate	adj. 合法的
leisure	n. 空闲时间;悠闲
leisured	adj. 有闲的
leisurely	adj. 从容的\nadv. 从容地
lemon	adj. 淡黄色的;柠檬味的\nn. 淡黄色;柠檬
lemonade	n. 柠檬汽水
lend	v. 贷;给予
length	n. 长;长段
lengthen	v. 使拖长;变长
lengthwise	adj. 纵长的\nadv. 纵长地
lengthy	adj. 长的;身体长的
lenient	adj. 宽大的;润泽的
lens	n. 镜头;透镜\nv. 给...摄影
leprosy	n. 堕落;麻风病
lesbian	adj. 女同性恋的\nn. 女同性恋者
less	adj. 较小的\nadv. 较小地
lessee	n. 承租人
lessen	v. 贬低;变小
lesson	n. 功课;教程
lessor	n. 出租人
lest	conj. 唯恐
let	n. 出租;租户\nv. 使;允许
lethal	adj. 致死的
lethargy	n. 昏睡;没精打采
letter	n. 信;字母\nv. 在...上刻字
letterbox	n. 信箱
lettuce	n. 莴苣;生菜
leukemia	n. 白血病
level	adj. 平的;一般高的\nn. 基准面;水平面\nv. 击倒;瞄准
lever	n. 杆;手段\nv. 撬动;使用杠杆
leverage	n. 杠杆作用;力量\nv. 举债经营
levity	n. 轻;轻率
levy	n. 征收;征收额\nv. 强求;征收
lewd	adj. 粗俗的;淫荡的
lexical	adj. 词典的;词汇的
lexicon	n. 词典;词素
liability	n. 倾向;责任
liable	adj. 会...的;有...危险的
liaison	n. 联络;联系
liar	n. 说谎的人
libel	n. 诽谤;原告诉状\nv. 诬蔑
liberal	adj. 大量的;慷慨的\nn. 自由主义者
liberality	n. 丰富;慷慨大方
liberalize	v. 使自由化;自由化
liberate	v. 劫掠;解放
liberation	n. 解放;释出
liberty	n. 释放;许可
librarian	n. 图书馆馆长
library	n. 书房;图书馆
libretto	n. 歌词;剧本
licence	n. 许可;证书
license	v. 批准;准许
licentious	adj. 放荡的;放肆的
lick	n. 舔;一击\nv. 舔;揍
licorice	n. 甘草精;欧亚甘草
lid	n. 盖;帽子
lie	n. 谎言;躺\nv. 说谎;平卧
lieutenant	n. 代理官员;海军上尉
life	n. 生命;一生
lifebelt	n. 安全带
lifeboat	n. 救生艇
lifebuoy	n. 救生圈
lifeguard	n. 警卫;救生员
lifeless	adj. 无生命的;无生物的
lifelong	adj. 毕生的
lifetime	n. 寿期;一生
lift	n. 提;天空\nv. 鼓舞;提
light	adj. 淡色的;轻的\nadv. 轻装地\nn. 光;光感\nv. 点;照亮
light year	n. 光年
lighten	v. 闪出;照亮
lighter	n. 点火器;驳船
lighthouse	n. 灯塔
lightly	adv. 轻轻地;少许
lightning	n. 闪电
likable	adj. 可爱的
like	adj. 相同的;相像的\nprep. 比如;像\nconj. 好像;如同\nv. 喜欢;要
likelihood	n. 可能;可能的事
likely	adj. 合适的;可信的\nadv. 很可能
likeness	n. 外表;相像
likewise	adv. 同样地;也
lilac	adj. 丁香紫的\nn. 丁香;丁香花
lilt	n. 轻快的跳跃\nv. 以欢快节奏唱
lily	adj. 白皙的\nn. 百合;百合花
limb	n. 大枝;肢;翅膀
limbo	n. 监狱;林波舞
lime	n. 石灰;椴
limelight	n. 石灰光\nv. 把光集中于
limestone	n. 灰岩
limit	n. 范围;限度\nv. 限定;限制
limitation	n. 局限;限度
limp	adj. 软的;软面的\nn. 跛行\nv. 格律不顺
limpid	adj. 平静的;清澈的
linchpin	n. 关键;制轮楔
line	n. 纹路;线\nv. 出局;填
lineage	n. 嫡派;家系
lineal	adj. 世袭的;直系的
lineament	n. 轮廓特征;外貌
linear	adj. 线的;线构的
lineman	n. 架线工;线上球员
linen	adj. 亚麻制的\nn. 内衣裤;亚麻布
liner	n. 定期船;衬里
linesman	n. 架线工;线上球员
linger	v. 拖延;消磨
lingerie	adj. 女用内衣的\nn. 亚麻织品
lingo	n. 特征语;行话
lingua	n. 舌
linguist	n. 语言学家
linguistic	adj. 语言的
liniment	n. 搽剂
link	n. 环;环节\nv. 串连;挽住
links	n. 海边长草的沙丘;高尔夫球场
linoleum	n. 仿油地毡;油地毡
linseed	n. 亚麻籽
lint	n. 棉绒;皮棉
lintel	n. 过梁
lion	n. 名人;狮子
lionize	v. 巴结名流;观光
lip	n. 唇状物;嘴唇
lipstick	n. 口红
liquefy	v. 液化
liqueur	n. 利口酒
liquid	adj. 清澈的;清脆的\nn. 流音;液体
liquidate	v. 清偿;清理
liquor	n. 酒;液
liquorice	n. 甘草根;甘草糖
list	n. 表;布条\nv. 列举;听
listen	v. 听;听从
listener	n. 收听者;听者
listless	adj. 倦怠的
literacy	n. 识字;熟谙文学
literal	adj. 照字面的;逐字的\nn. 误排
literally	adv. 简直;确实地
literary	adj. 书面的;文学的
literate	adj. 有读写能力的\nn. 有文化修养的人
literature	n. 文献;文学
lithe	adj. 柔软的
lithium	n. 锂
lithograph	n. 平版印刷品\nv. 用平版印刷术印刷
litigant	adj. 想打官司的\nn. 诉讼当事人
litigate	v. 就...争讼;诉讼
litigious	adj. 好讼的;诉讼的
litre	n. 升
litter	n. 废弃物;一窝\nv. 乱扔;下仔
little	adj. 小的;幼小的\nadv. 毫不;难得
littoral	adj. 海岸的\nn. 沿海地区
liturgy	n. 礼拜仪式;圣餐仪式
live	adj. 活的;真的\nadv. 在现场\nv. 过;活
livelihood	n. 生活
livelong	adj. 漫长的
lively	adj. 活泼的;灵敏的
liver	n. 肝;肝脏
livery	adj. 像肝的;易怒的\nn. 服装;号衣
livestock	n. 家畜
livid	adj. 带红色的;青灰色的
lizard	n. 蜥蜴;蜥蜴皮
load	n. 负荷;思想负担\nv. 装;装货
loaf	n. 面包;肉糕\nv. 闲混;游荡
loam	n. 烂砂;壤土
loan	n. 贷款;暂借\nv. 错出;贷款
loath	adj. 不愿意的
loathe	v. 不喜欢;厌恶
loathsome	adj. 讨厌的
loaves	n. loaf的复数
lobby	n. 穿堂;议院走廊\nv. 游说
lobe	n. 耳垂;叶
lobster	n. 龙螯虾;真龙虾
local	adj. 局部的;位置的\nn. 当地居民;市郊列车
locality	n. 地点;地区
localize	v. 积聚;局部化
locate	v. 找到;定居
location	n. 定位;位置
loch	n. 湖;狭长海湾
lock	n. 锁;闸\nv. 拴住;锁
locker	n. 锁柜;箱
lockout	n. 闭厂;封锁
locksmith	n. 锁匠
lockup	n. 拘留所;锁
locomotion	n. 旅行;运动
locomotive	adj. 机车的;运动的\nn. 机车;腿
locum	n. 代理牧师;代理医师
locust	n. 蝉;蝗虫
locution	n. 语言风格
lode	n. 矿脉;水路
lodestar	n. 指导原则
lodestone	n. 天然磁石
lodge	n. 旅舍;小屋\nv. 搁住;暂住
lodger	n. 房客;居住者
loess	n. 黄土
loft	n. 阁楼;厩楼\nv. 吊高;吊高球
lofty	adj. 崇高的;高傲的
log	n. 计程仪;原木\nv. 伐木
logarithm	n. 对数
loggerhead	n. 傻瓜;铁头棒
logic	n. 逻辑;推理
logical	adj. 逻辑的
login	n. 登录\nv. 登录
loin	v. 腰部
loiter	v. 消磨;闲逛
loll	n. 下垂\nv. 把...伸出;垂下
lone	adj. 独身的;寂寞的
loneliness	n. 孤独
lonely	adj. 孤独的;寂寞的
lonesome	adj. 寂寞的;想念的\nn. 自己
long	adj. 长的;长时间的\nadv. 长久;始终\nv. 渴望;归属
longbow	n. 大弓
longer	adj. 较长
longevity	n. 长寿;寿命
longhand	n. 普通书写
longitude	n. 长度;黄经;经度
look	n. 察看;看\nv. 看
lookout	n. 观察所;观察员
loom	n. 织机;织造\nv. 隐约地出现
loop	n. 环路;圈\nv. 把...打成环;打环
loophole	n. 观察孔;漏洞\nv. 在...上开枪眼
loose	adj. 放松的;宽松的\nadv. 宽松地\nv. 解开;释放
loosen	v. 放宽;使松
loot	n. 劫掠;钱\nv. 掠夺;抢劫
lop	n. 小树枝\nv. 剪去;砍
lope	n. 大步走\nv. 大步慢跑
lord	n. 主;君主;领主\nv. 称...为勋爵;指挥
lordly	adj. 高傲的;贵族的\nadv. 贵族般地
lore	n. 教导;学问
lorry	n. 手车;运货汽车
lose	v. 失去;遗失
loser	n. 输者;遗失者
loss	n. 减少;损失
lot	n. 抽签;签
lotion	n. 洗液;濯身
lottery	n. 抽签法;碰巧的事
loud	adj. 俗艳的;响亮的\nadv. 大声地
lounge	n. 起居室;休息厅\nv. 闹逛;倚
louse	n. 虱;书虱\nv. 清除...上的虱子
lousy	adj. 多虱的;污秽的
lout	n. 笨拙的人\nv. 鄙视;鞠躬
louvre	n. 百叶窗
lovable	adj. 可爱的
love	n. 爱;爱情\nv. 爱;恋爱
loveless	adj. 没有爱的
lovely	adj. 心灵美的\nadv. 漂亮地\nn. 美女
lovemaking	n. 求爱;做爱
lover	n. 爱人;情夫
low	adj. 低的;浅的\nadv. 低;低声地
lowbrow	adj. 缺乏文化素养的\nn. 缺乏文化修养的人
lower	v. 放下;减低\nlow的比较级
lowly	adj. 等级低的;地位低的
loyal	adj. 忠诚的;忠心的
loyalty	n. 忠诚
lozenge	n. 锭剂;菱形
lubricant	n. 润滑剂
lubricate	v. 灌...酒;润滑
lucid	adj. 清澈的
luck	n. 好运;运气\nv. 凑巧碰上;逢凶化吉
lucky	adj. 侥幸的;有好运的
lucrative	adj. 生利的
ludicrous	adj. 荒唐可笑的
lug	n. 勒索;拖\nv. 硬扯;拖
luggage	n. 箱笼;行李
lugubrious	adj. 悲哀的
lukewarm	adj. 不热情的
lull	n. 暂停\nv. 使安静;平息
lumbago	n. 腰痛
lumber	n. 成材;隆隆声\nv. 占满;伐木制材
luminary	adj. 光的\nn. 发光体;发光天体
luminous	adj. 发光的;光辉的
lump	n. 块;隆起\nv. 结块;做装卸工
lumpish	adj. 愚笨的
lumpy	adj. 多块的
lunacy	n. 精神错乱;心神丧失
lunar	adj. 月的;月亮似的
lunatic	adj. 精神错乱的\nn. 狂人
lunch	n. 快餐店;午餐\nv. 吃午饭
luncheon	n. 午餐;午餐会
lunchtime	n. 午餐时间
lung	n. 肺;呼吸器官
lunge	n. 冲;调教索\nv. 用刺
lurch	n. 倾向;突然倾斜\nv. 大胜;偷
lure	n. 吸引力;诱饵\nv. 吸引
lurid	adj. 苍白的;火红的
lurk	v. 暗藏;潜伏
luscious	adj. 过分香甜的
lush	adj. 繁茂的;繁荣的\nn. 酒;酒鬼\nv. 喝;喝酒
lust	n. 渴望;性欲\nv. 有强烈的性欲
lustful	adj. 好色的;强壮的
lustre	n. 光辉;光泽\nv. 使有光彩;有光泽
lustrous	adj. 光辉的;有光泽的
lusty	adj. 丰盛的;贪欲的
lute	n. 诗琴;封泥\nv. 弹诗琴;用封泥封
luxuriance	n. 肥沃;丰富
luxuriant	adj. 肥沃的;丰富的
luxuriate	v. 尽情享受;纵情享乐
luxurious	adj. 精选的;奢侈的
luxury	adj. 奢华的\nn. 奢侈;奢侈品
lychee	n. 荔枝
lymph	n. 浆;淋巴
lynch	v. 以私刑处死
lynx	n. 天猫座;猞猁
lyre	n. 里拉
lyric	adj. 歌的;抒情的\nn. 歌词;抒情诗
lyrical	adj. 抒情的
macabre	adj. 恐怖的
macadam	n. 碎石;碎石路
macaroni	n. 花花公子;通心面
mace	n. 权杖;诈骗
macerate	v. 浸软;消瘦
machine	n. 机动车;机器\nv. 使定型
machinegun	n. 机关枪
machinery	n. 机器;团体
machinist	n. 机工
mackintosh	n. 马金托什雨衣
macrocosm	n. 宏观世界;整体
mad	adj. 发狂似的;疯的
madam	n. 夫人;女士
madame	n. 夫人;鸨母
madcap	adj. 鲁莽的\nn. 鲁莽的人
madden	v. 激怒;发疯
madhouse	n. 精神病院
madman	n. 疯人;狂人
madrigal	n. 无伴奏合唱
maelstrom	n. 大漩涡;极度混乱
maestro	n. 名师;音乐大师
magazine	n. 弹药库;杂志
magenta	adj. 品红色的\nn. 品红;品红色
maggot	n. 怪念头;蛆
magic	adj. 巫术的;有魔力的\nn. 魔法;魔力
magician	n. 魔术师;巫师
magistrate	n. 地方法官
magnate	n. 要人
magnesia	n. 氧化镁
magnesium	n. 镁
magnet	n. 磁体
magnetic	adj. 磁的;磁化的
magnetism	n. 磁性;磁学
magnetize	v. 吸引;磁化
magneto	n. 永磁发电机
magnify	v. 放大;加强
magnitude	n. 巨大;量
magpie	n. 鹊
magus	n. 巫术师;星术学家
mahogany	adj. 红木做的\nn. 赤褐色;红木
maid	n. 处女;少女
maiden	adj. 少女的;首次的\nn. 处女;少女
mail	n. 邮件;邮政\nv. 邮寄;寄出
mailbag	n. 邮袋;邮递袋
maim	n. 伤残;严重缺陷\nv. 使成残废;使有缺陷
main	adj. 辽阔的;完全的\nn. 体力;叫数
mainland	n. 大陆
mainline	adj. 传统的;主流的\nv. 注入;入迷
mainspring	n. 主发条;主要动力
mainstay	n. 主桅支索;主要依靠
mainstream	n. 主流
maintain	v. 赡养;维持
maize	n. 玉米色;玉蜀黍
majesty	n. 陛下;雄伟
major	adj. 较大的;较重要的\nn. 成年人;重要人物\nv. 主修
majority	n. 多数;多数党
make	n. 牌子;体质\nv. 构成;做
maker	n. 出票人;上帝;制造商
makeshift	adj. 权宜的\nn. 权宜之计
makeweight	n. 无关紧要的人
malady	n. 病
malaria	n. 疟疾
malcontent	adj. 不满的;反叛的\nn. 不满者;反叛者
male	adj. 男的;雄的\nn. 男子;雄性动物
malefactor	n. 罪犯
malevolent	adj. 有害的
malformed	adj. 畸形的
malice	n. 恶意;蓄意害人
malicious	adj. 恶意的
malign	adj. 恶性的;恶意的\nv. 诽谤
malignant	adj. 恶性的;恶意的\nn. 不满分子;不满者
malinger	v. 诈病
mall	n. 分隔带;林荫路
malleable	adj. 可变的;易适应的
mallet	n. 大头锤;木槌
malodorous	adj. 难闻的
malt	n. 麦芽\nv. 成为麦芽
maltreat	v. 误用;虐待
mama	n. 老婆;妈妈
mamma	n. 乳房
mammal	n. 哺乳动物
mammon	n. 贪欲;物质财富
mammoth	adj. 巨大的\nn. 猛犸;庞然大物
man	n. 男子;人
manacle	n. 手铐;束缚\nv. 给...上手铐;束缚
manage	v. 管理;控制
manageable	adj. 可管理的;可控制的
management	n. 管理;管理人员
manager	n. 当家人;经理
managerial	adj. 经理的
mandate	n. 命令;授权\nv. 批准
mandated	adj. 委托管理的
mandolin	n. 曼陀林
manful	adj. 大丈夫气概的
manganese	n. 锰
mangle	n. 轧布机\nv. 乱砍;损毁
mango	n. 芒果;泡菜
mangrove	n. 海榄雌;红树
manhandle	v. 用人力搬动
manhole	n. 人孔
manhood	n. 成年;男子
mania	n. 躁狂;癖好
maniac	adj. 疯狂的;躁狂的\nn. 入迷的人;躁狂者
manicure	n. 修指甲;修指甲师\nv. 修;修剪
manifest	adj. 显然的\nn. 船货清单;提货单\nv. 表露;显示
manifesto	n. 宣言\nv. 发表宣言
manifold	adj. 多种多样的\nn. 多支管;复印本\nv. 复写;复印
manipulate	v. 操纵;操作
mankind	n. 男子;人类
manlike	adj. 像男人的
manly	adj. 适合于男人的\nadv. 具有男子气概地
mannequin	n. 女模特儿;人体模型
manner	n. 方式;态度
mannered	adj. 矫饰的;态度...的
mannerism	n. 风格主义;习性
mannish	adj. 像男人的
manoeuvre	n. 调动;演习\nv. 操纵;调动
mansion	n. 大厦;领主宅第
mantis	n. 螳螂
mantle	n. 披风;衣钵\nv. 覆盖;掩藏
manual	adj. 手册的;手的\nn. 键盘;教范
manure	n. 肥料\nv. 耕种;施肥于
manuscript	adj. 手写的\nn. 手写本
many	adj. 许多的\npron. 许多人
map	n. 地图;图\nv. 勘测;被安置
maple	n. 槭木;槭树
mar	n. 污点\nv. 毁坏
marathon	adj. 有耐力的\nn. 持久的活动;马拉松
marauder	n. 强盗
marble	adj. 大理石的\nn. 大理石\nv. 使具有大理石花纹
march	n. 3月 月\nn. 行军;边界\nv. 进展;前进
margarine	n. 麦淇淋
margin	n. 边;余地\nv. 加边于
marginal	adj. 边际的;边缘的
marijuana	n. 大麻
marine	adj. 海的;海军的\nn. 海景画;所有船舶
mariner	n. 船员;海员
marital	adj. 夫妻的;婚姻的
maritime	adj. 海上的;海事的
mark	n. 马可福音;马可\nn. 短线;符号\nv. 标明;评分
marked	adj. 明显的;有标记的
marker	n. 得分;划线装置
market	n. 集市;市场\nv. 销售;进行交易
